objectid,filename,youtubeid,title,creator,date,description,subject,exhibition,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,iglink
coll053,https://lh3.googleusercontent.com/d/1lA8GtbYAs7e-uZgFB5EeAHt691GVEUYL,,TAGALOGS 1590s,,2019-11-29,"Morga resided at Intramuros Manila around when today’s title image was painted for a one-of handwritten book known as “The Boxer Codex.” Natives eating the food Morga mentions would have dressed as shown. In addition to mabolo and sampaloc they ate NANCA (Artocarpus heterophylus), jackfruit in English from Portuguese jaca (derived from Malay chakka). It may have been first domesticated by Austronesians in Java or the Malay Peninsula. Filipinos may have brought it to Guam during Spanish colonial times. SANTOL (Sandorocum koetjape) was another Southeast Asian indigenous fruit eaten. It was introduced to Indo China and the Indian area.",Nanca; Jackfruit; Santol,Antonio Morga 30,,,Vibal Publishing released a reproduction of The Boxer Codex that is sold in bookstores.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5cAo8IHGDY/
coll054,https://lh3.googleusercontent.com/d/1LenW--Wnpa1yCGFPGP25Jcddk3aXs2fp,,SPANISH ARRIVALS,,2019-11-30,"Antonio Morga’s Chapter 8 reveals that just as tropical Asian botanicals were sent to the New World, Old World plants were brought to Filipinas. Although quince and other European fruits were planted, only pomegranates (rightmost on image) and grapes fruited, usually after 2 years and abundantly thrice a year. Figs also fruited. Vegetables grew well but did not seed. Seeds had to be brought from Spain, China or Japan. Morga gives a lead that some heritage or antique varieties of Philippine vegetables could be identical to some from countries of regular traders. ctto Abraham Brueghel (1631-1690).",Pomegranates; Grapes,Antonio Morga 30,,,"Natura Morta Con Uva, Melagrana E Pesche. Wiki gallery.org",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5fVeW3n_wc/
coll055,https://lh3.googleusercontent.com/d/1CXTxNCuxZSxcOssLGFe46cQIgdBAdl8h,,SPANISH COOKING IN MANILA,,2019-12-01,"Morga wrote that most Spaniards lived in Intramuros Manila. By 1595-1603 while he was there, very few of the original conquerors who had arrived with Miguel Lopez de LEGASPI in 1565 to begin settling for Spain, were still alive. He documents chickens being eaten by natives and settlers. Food was always a challenge. What his book doesn’t include are documents from the Audencia where he worked requiring in 1598 that the city contract 19 riflemen-hunters to provide at least 1 buffalo for sale daily at the public slaughterhouse. Neither does he reveal that Chinese and Filipinos were required to raise chicken and swine under penalty of fine. The animals would form part of the settlers diet. Specified nearby towns were required to bring to Intramuros weekly 300 laying hens, a number of swine considered proper, as well as 2,000 eggs. The foods were not reimbursed by currency or barter goods. They were contributed in theory for the protection and organised governance the foreigners were providing. How were the eggs cooked? Perhaps the painting by the Spanish genius Diego Velazquez (1599-1660) gives a hint. It is titled Old Woman Cooking Eggs. The on-going debate: Was she poaching or frying them?",Chicken; Swine; Eggs,Antonio Morga 30,,,"Painted 1618. National Gallery of Scotland, Edinburgh.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5hOjUkHVH6/
coll056,https://lh3.googleusercontent.com/d/1L3YMA9ZYP2nJaLpswChavCWeIeZnc-0v,,WINE SECURITY,,2019-12-02,"During the time of Morga, wine was food. Spanish wines arrived from the galleon coming from Mexico every year. But grape wine was not being made in Filipinas. One guarded the wine supply. Morga wrote that Filipinos made a local wine. “They drink that which drips out of the tender flowers of coconut trees and of nipa palms which are abundant and raised like vineyard-grapes although with less care and difficulty.” The juice was then distilled until fermented strong or light in intensity. He classified tuba as a clear fluid like water but strong and dry. It is interesting that he noted: “When used moderately, it is medicinal for the stomach and good for phlegms and other kinds of rhems. When mixed with Spanish wine, it becomes a pleasant liquor which is tasteful and wholesome.” Perhaps today’s competitive bar masters can develop a tuba and wine cocktail celebrating culinary mixing?",Wine; Tuba,Antonio Morga 30,,,"A Young Man Drinking (in the style of Spanish Baroque painter Bartolomé Esteban Murillo, 1617-1682) National Gallery, UK",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5j-9Y7nbbm/
coll057,https://lh3.googleusercontent.com/d/1Eon6iUJBBN7Fz-0rTXHJ3RqIdEfXep-3,,COMFORT FOOD,,2019-12-03,"The olive provides oil for cooking and seasoning Spanish food. When brined it is an aperitif and on a difficult galleon voyage offered comfort from sea-sickness and perked up poor appetites. In Filipinas olive trees refused to grow during Morga’s time. He wrote that in lieu of olive there was “a green, very small fruit, more diminutive than a nut, called PAOS.” He added: “when properly prepared for eating [pao] has a good taste when served as pickles or brined.” The fruit is 5-8 centimetres long and 4-6 centimetres wide. Pao or paho (Mangifera altissima) was common and distributed in forests from northern Luzon to southern Mindanao. As of 1921 paho was not cultivated. Neither was there ever a business in bottling or canning paho pickles or paho in brine. Perhaps those are reasons paho has become rare. And yet it is a unique Philippine delight enjoyed by Spanish during the late Renaissance and Baroque eras.",Olive; Pao; Paho,Antonio Morga 30,,,,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5mgI9qnxGb/
coll058,https://lh3.googleusercontent.com/d/1ObhBqlwsuFfM6Chtfa1W_FdCHd_XIeKg,,EDIBLE DYE,,2019-12-04,"Safflower(Carthamus tinctorius) was called CASUBHA by natives and COCHUMBA by Spaniards like Antonio Morga, whose food observations are featured in this series. The botanical’s birthplace is still unknown although Iran and India are candidates. In 12th century Egypt it was already used as a textile dye. In India it is called koosumbha. No one is sure how safflower got to Manila where is was also used to color textile.

Safflower flowers were cultivated by Filipinos to sell as a substitute for costly saffron that did not grow locally. Saffron turned fish escabeche and rice dishes a lovely golden hue. Morga is silent about safflower’s culinary uses. He only writes that from 1595 to 1603 the food coloring was grown. There is written evidence that in 1800s’ Philippines its leaves were cooked and eaten as a salad.
Sometimes saffron is diluted with safflower. Today it is used in arroz caldo among other foods. It is said that Spaniards brought safflower to their American colonies.",Safflower; Saffron,Antonio Morga 30,,,"Original book source: Prof. Dr. Otto Wilhelm Thomé Flora von Deutschland, Österreich und der Schweiz 1885, Gera, Germany. Permission granted to use under GFDL by Kurt Stueber. Source: www.biolib.de",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5pM90tHtiy/
coll059,https://lh3.googleusercontent.com/d/1yjhcAv3OYDaS63mQh09r9lVH-w4BFQSR,,CHRISTMAS PILI,,2019-12-06,"Antonio Morga who lived in Intramuros Manila from 1595-1603 wrote there were “strong, good-tasting nuts called PILÉS.” By the turn of the 19th century, pili was turned into turron candy following famous turron de almendras of Spain. Nuts were ground finely, sweetened with honey and given a hint of DAYAP (another old-fashion Philippine culinary flavorer.) During Christmas pili turron was a special gift. PILI (Canarium ovatum) is sometimes classified as a Philippine endemic plant. It is known to be native to Southeast Asia, Papua New Guinea and northern Australia.",Nuts; Pili; Turron,Antonio Morga 30,,,"The image shows recipes from a 1913 Philippine cookbook for pili turron, pili in syrup and pili pudding.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5uAPspn867/
coll060,https://lh3.googleusercontent.com/d/16elb3Pgn3lgFOloVg-PqSaQwxc1l1yqW,,PEARS FOR PASKO,,2019-12-07,"Starting the end of October, ships of Japanese and Portuguese registry arrived in Manila. They were pushed southwards by the Northeast Monsoon or Northerlies; they returned to Nagasaki in June and July when the Southwest Monsoon or Vendaval became the prevailing wind. They provided much needed wheat flour, dried beef “in great demand,” barrels and containers of good salted tunny fish, and fresh pears according to Morga who lived in Manila from 1595-1603. Sometimes other ships from there came in March just before the wind shift. Also in Manila during Christmas (till January) could be Portuguese ships from the Moluccas, Malacca and India. They brought European wines, raisins, almonds, tasty preserves, fruits from Portugal, clove, cinnamon, pepper, fabrics and jewels, Negro slaves and Caffirs.",Antonio Morga; Ships,Antonio Morga 30,,,Fruit Bowl with Plate of Grapes and Pears. Anonymous. 1625. Fundación Banco Santander.,,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/B5wrgr7nHds/
coll061,https://lh3.googleusercontent.com/d/1KDyjWclZyVeE96tvj9naADrp2VMPStW_,,CARABAO DUTIES,,2019-12-08,"Antonio Morga noted wild game in Filipinas: deer, wild boar, even porcupine, and “buffalos called carabaos which are raised in the fields; and there are fierce carabaos aside from the tame ones brought from China, of which there are a great number, and very beautiful ones only useful for dairy purposes, their milk being thicker and better tasting than cow’s milk.” One wonders if flan de leche was made in 16th century Manila. With fresh carabao or cow milk?",Carabaos; Milk,Antonio Morga 30,,,A geroglifico game of 1860. It means: The carabao serves the native in work at the fields. Collection: Eugenio Lopez Memorial Library,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B50A5ZJHWSp/
coll062,https://lh3.googleusercontent.com/d/1JqVADEPOnVhBQThuocBBrdtWhDW9zM67,,BEEF BURDENS,,2019-12-10,"When Filipinas was only 30 years old, the timeframe of the Antonio Morga food notes, the Spanish were trying to set up cattle ranches. Bovidae and the Spanish go as far back as 35,000 years if one remembers the bison paintings in the Altamira cave. Beef has been enjoyed as estofados and asados. The King underwrote expenses to introduce cows, also in the Bovidae family, into the Americas and Filipinas where they did not exist. Morga wrote there was “plenty [of beef] in many parts of the islands, considerable breeding stations and ranches where cattle are raised.” Chinese cows were being imported. They were “small and very prolific.” Philippine beef eating came with the Spanish colonials and ranching in the late 1500s.",Beef; Cattle,Antonio Morga 30,,,"Image from wpclipart.com is listed as public domain. It illustrates an English nursery rhyme of the 16th century, the era of Magallanes, Pigafetta, Morga. “Hey diddle diddle. The cat played the fiddle. The cow jumped over the moon.”",,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/B54F6SmHdh2/
coll063,https://lh3.googleusercontent.com/d/1U9W36hWnwnisES4EeF3dgxtvP_sPIxtZ,,MEXICAN SPINACH,,2019-12-12,"As the 16th century ended, native Filipinos were eating vegetables that included boiled QUILITIS (in photo), according to Antonio Morga. It is the “thorny amaranth” (Amaranthus spinous) with edible leaves and is native to tropical America. In Mexico it is called quelite quintonil. During the early Conquista there, it was a criminal act to grow the plant’s cousin, AMARANTO (Amaranthus cruenta) now considered a high protein power food. Hands of the insistent were chopped off by the Spanish as punishment! The plant was outlawed because of its use in pagan rites including those honouring Huitzilopochtli, principal war god.",Quilitis; Amaranto,Antonio Morga 30,,,Healing Wonders of Philippine Medicinal Plants www.filipinoherbshealingwonders,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B5-aV7wnPoc/
coll064,https://lh3.googleusercontent.com/d/1U2dyYnAAPazoJQkPcFFeF9BwlxmT9wky,,ATIS IN 1598,,2019-12-15,"Among the introduced Mexican botanicals thriving during Morga’s Manila residence (1598-1603) was Annona squamosa, called sugar apple, sweet sop, custard apple. It’s native to tropical America and the Caribbean. ATE is its antique Mexican name giving rise to ATA in Portuguese and ATIS in the Philippines. It was considered the most delicious fruit in the colony until Indian mango began to rival it.",Annona; Atis,Antonio Morga 30,,,"Michal Boym, SJ. From one of the pioneering history books about China, 1656. Bibliotheque Universtaire Moretus Plantin. en.m.wikepedia.org",,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/B6Fga7ynaj5/
coll065,https://lh3.googleusercontent.com/d/1QHZU4mqNRtmqW4yuVHY6xlSGIKI90qb-,,SILVER PINYA,,2019-12-16,"Morga attests to pineapple being eaten and grown in Manila of 1595-1603. It was native to Brazil (that had been a Portuguese colony) and Paraguay. It seems to have been introduced by Hispanics to Filipinas, although Portuguese already had brought it earlier to India where they cooked it with sugar into preserves. It was growing in Agra’s royal garden during the reign of Akbar, 1556-1605. By the 1800s, pineapple was thriving around Filipinas. It became a European symbol of wealth and hospitality. Ornate wooden toothpicks were carved by prisoners and stuck into silver pineapples like the pair in the photo and used to decorate festive tables as written about by Rizal. Today pinya is a source of country profit and a health food.",Pineapple,Antonio Morga 30,,,"Martin Tinio, “The Silver Set” in FILIPINO HERITAGE, VII: 1718-1721 (1978)",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6HUqD4Htq-/
coll066,https://lh3.googleusercontent.com/d/1FVWgbRbHDYFtP8JMbDzc8mfh7llU6G5v,,CENTRAL AMERICAN CULINARY MIGRANT,,2019-12-18,"Papaya (Carica papaya) was introduced to Europe from the West Indies but its birthplace seems to be southern Mexico. Papaya is another fruit mentioned by Morga as eaten in the Philippines from 1595 to 1603 that was not noted by Antonio Pigafetta in 1521. Neither were kilitis, pineapple, pomegranate, grape and atis indicating they may have arrived after 1565 when Miguel Lopez de Legaspi began colonisation. Often there are no documents specifying when the first of a new botanical was carried into a new environment. One must make a rationale deduction after studying many records in chronological sequence. When a botanical indigenises people around it find ways to use it. In the Philippines unripe papaya fruit is used as a vegetable and pickled. In Manado, the capital of Indonesia’s North Sulawesi province, papaya flowers are stir-fried with smoked tuna. They are first boiled to remove bitterness. ctto Photograph by Melbourne.",Papaya,Antonio Morga 30,,,PAPAYA FLOWER by Petty P. Elliott (2009) can be purchased online from THE KITCHEN BOOKSTORE.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6Lf-AxHUWI/
coll067,https://lh3.googleusercontent.com/d/1SRfXEAwuyi7_4gfVYQWIm6Js7bfUVV-j,,CHINESE TRADERS,,2019-12-18,"Ships numbering 30 to 40 sailed for 15 to 20 days from Canton, Chinchow and Ucheo generally during the new moon in March. Manila was their destination. They sailed back at the end of May or early June before the stormy season. In addition to silk, the primary product purchased for shipment eastwards via the Spanish galleon, the boats carried culinary provisions for the colony’s resident Spanish. Morga lists copper kettles, wheat flour, orange preserves, peaches and other Chinese fruits, viper roots, pears, nutmeg, ginger, ham, bacon, dried beef, live chickens, still unripe fruits, citrus fruits of all kinds, chestnuts, almonds. The traders wanted payment in silver. Some Chinese were allowed to stay in a special walled in quarter with a market.",Ships; Chinese; Trading,Antonio Morga 30,,,"Chinese traders living in their homeland. From THE BOXER CODEX, a 16th-century account reproduced by Vibal Foundation in 2016.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6NtIN7ngsM/
coll068,https://lh3.googleusercontent.com/d/1tErE1P44kkDbbxfdviOBLO2MUnZ_V29-,,VIBAL’s BOXER,,2019-12-19,"A companion piece to Antonio Morga’s book is an untitled, handwritten account about the Philippines and its neighbouring countries. The account took on the name “The Boxer Codex” after Charles Boxer who discovered it. It seems to have been penned a little before Morga’s arrival in Manila. One explores, through the Codex, ingredients common to continental Asian cuisine and insular Asian food. Vibal offers a transcription of original Spanish text on left hand pages, while English translations are on right hand pages.",The Boxer Codex; Charles Boxer; Asian cuisine,Antonio Morga 30,,,Front cover of VIBAL’s version of the Codex. It is a watercolor of a Spanish galleon dropping anchor in May 1590 in waters around Guam.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6QLIYbn4o4/
coll069,https://lh3.googleusercontent.com/d/1t391RMKRU9SZDseH8GXgu88EJm7cm2SY,,ISLANDS OF THE WEST,,2019-12-21,"For Spaniards during the Renaissance, Filipinas was a westward sail since their Papal-arbitrated covenant with rival maritime kingdom Portugal. Morga described natives not having quail but that Pugos (what he called “ponos”) were the substitute. There were wild cocks and very small chickens tasting like partridge. At the time there was no turkey, either. It was introduced from its native homeland, Mexico and other parts of the Americas. By the 1800s, turkey was Christmas fare for Spanish living in Manila. In 1815, the galleon trade ended because Mexico was fighting a war of independence from Spain. All Europeans sailed eastwards to The Isles of the West.",Renaissance; Antonio Morga; Pugo,Antonio Morga 30,,,"Detail from a Dutch map by Jodocus Hondius, 1608. It was exhibited at Metroplitan Museum of Manila in 2017 by PHIMCOS (Philippine Map Collectors Society). Upper right depicts Dutch and Spanish at war. This is the 25th food vignette based on the writings of Antonio Morga.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6URXg3nKFr/
coll070,https://lh3.googleusercontent.com/d/1F46ccYqPERcsqv3OmJ7r1I3MGHJW9DAS,,GOING NATIVE,,2019-12-22,"When Manila was only 25 years old, Morga noted Spaniards drinking a mix of tuba and grape wine, and even chewing between meals the BUYO. BUYO is an Areca nut and white lime powder wrapped in a betel leaf. Chewing BUYO turns the mouth and saliva red making spittoons useful. BUYO offers energy but is more active in calming. The Philippines could be the birthplace of the nut’s plant (Areca catechu). Currently Palawan offers the earliest evidence of BUYO chewing: skeletal remains of human teeth stained red and an Anadara shell with lime in it at Duyong Cave (dated to 4,630 plus or minus 250 BP, meaning before present). Many cultures considered members of prehistoric Austronesians chewed BUYO. Morga lived at Intramuros 1595-1603.",Buyo; Buyo chewing,Antonio Morga 30,,,"Detail of a BUYO vendor in Manila during the mid-1800s. By JOSE Lozano in the Gervasio Gironella Album at the Biblioteca Nacional de Madrid and reproduced by Jose Ma. Cariño in FILIPINAS 1847 (Ars Mundi publishing, 2002)",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6WwAK9Hkk_/
coll071,https://lh3.googleusercontent.com/d/1EkdOQbx4V0nA3hMjrwj88-ItdX3x3tTB,,MANILA CHRISTMAS,,2019-12-23,"Morga’s Manila was different from today’s Intramuros. San Agustin Church was nearing completion, for instance. Christmas emphasised its religious story of the nativity and charity. A contemporary of Morga wrote that during Christmas, the natives gave food to all the poor they could assemble, Spanish and indio prisoners, and the needy who made gunpowder. Only in 1589 (6 years before Morga’s arrival in Manila) was the archipelago reduced into areas, each assigned to a religious order to convert to Christianity and sustain the faith including its food taboos. In some parts of the archipelago the religious orders had well constructed timber monasteries with fine paintings and chapel ornaments including gold chalices. Morga notes that singing, dancing and playing music were native talents.",Manila; Intramuros; Christianity,Antonio Morga 30,,,"Detail of a Manila map by Fr. Ignacio Muñoz, OP, 1671. Ministerio de Cultura y Deporte. Archivo General de Indias. In PHILIPPINE CARTOGRAPHY, 1320-1899 by Carlos’s Quirino, Vibal Foundation edition 2018.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6aRL-SHEHf/
coll072,https://lh3.googleusercontent.com/d/1FSK7UMZgmSioZ1nyZkpuwQ371um-lO8b,,CHRISTMAS A MUST,,2019-12-24,"On June 1, 1537 (before Miguel Lopez de Legaspi began settling Filipinas for Spain in 1565 and while Mexico was being converted) Pope Paul 3 in his bull ALTITUDO DIVINI CONSILII listed the feasts newly converted natives were obliged to observe. Christmas, the Circumcision, and the Epiphany (3 Kings) were included. Required fasting and abstention were less for Indios also. Christmas was a “three crosses” feast, meaning having highest rank. Colonials could not force natives to work on those days and were to have them hear mass. Food unlike the everyday and with sweets was important to making a feast special and communal or societal. Indios were considered children in their understanding of Roman Catholicism so shouldn’t be required the same as persons from long-time Christian societies. Morga explained that civic feasts included May 19, Sta. Potenciana’s Day when Spaniards won Maynilad; November 13, Saint Andrew’s Day when the colonials drove the pirate Limahong away after he did much damage, as well as festivals related to the monarch.",Christianity; Christmas,Antonio Morga 30,,,"A bricolage with blown glass miniatures and a Holy Baby Jesus under a glass virina. Courtesy of Intramuros Administration in HOUSEHOLD ANTIQUES & HEIRLOOMS by Felice Sta. Maria (Manila: GCF Books, 1983.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6cWH_5neIB/
coll073,https://lh3.googleusercontent.com/d/1QF5uB-olkJsy1ogwM56GbqsHmNBxI4Tg,,BLACK BIRD,,2019-12-26,"When Antonio Morga lived in Manila from 1595 to 1603, he wrote that Chinese traders brought swans, geese, squabs. They also had unusual hens with black skin, flesh and bones that tasted good. He meant the ULIKBA that has an antioxidant called carnosine known to be beneficial for human muscles and the nervous system. ULIKBA added to the diet that included native chicken, some wild and others raised under houses built on stilts. Allan Cooper, Director of the Australian Center for Ancient DNA at University of Adelaide found that all ancient chicken bone samples in the Pacific area have a genetic signature unique to only the Philippines and neighbouring areas. It is not identical to the DNA signature of South American chickens, for instance. Did the Philippines become a center for the spread of chickens carried by ancient Polynesians who brought the fowl on their sailing journeys? Was the Philippines a major stopover for prehistoric Polynesians? Could it have been Taiwan? Gathering evidence continues to show how people, flora, fauna migrate and settle around the planet.",Antonio Morga; Ulikba; Chicken,Antonio Morga 30,,,Clip art Chicken Silhouette. publicdomainpictures.net,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6hwEKbnmvw/
coll074,https://lh3.googleusercontent.com/d/1cmU_tdZD8k3skEqD1sic1emKqSfKU2wZ,,HUSKING,,2019-12-27,"Morga wrote that around when Manila City turned 25 years old, native women pounded rice to be cooked by them as part of daily meals that included boiled fish. Women raised pigs and chickens while men did more physically demanding work in fields or while fishing. They kept house for “husbands and parents” and did excellent needlework, spun cotton, wove blankets. Women were the home cooks. Important is the implied status of women described by Morga: When both men and women go to church or take a walk along the streets, they walk with slow dignified steps accompanied by male and female slaves who always carry parasols to protect them from rain and sun. The ladies walk ahead followed by their female servants and slaves, then their husbands, fathers and brothers follow with their male servants and slaves. He also noted that there was high literacy, with natives writing using what we call today baybayin. It is an indigenous script that was used as early as 300 CE. Examples are at the Philippine National Museum of Anthropology. One must see food —its production, collection, preparation, movement — as part of the bigger picture that is a people’s challenge to live life as they wish to.",Manila; Women; Men,Antonio Morga 30,,,"Detail from a painting in JOSE LOZANO: FILIPINAS 1847 by JOSE Maria A. Cariño (Ars Mundi, 2002) Rizal’s annotations of Morga’s book explain that the wooden pestle women use comes in a small size and is not heavy to strain them.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6jw8hln9TZ/
coll075,https://lh3.googleusercontent.com/d/1eqP7d_b--2Sw5J6Dg-N-5VsNdJvQswx3,,FUSIONS,,2019-12-28,"In the first 30 years of Filipinas as a Spanish colony, Morga described that colonials, natives, seasonal foreign traders, Chinese workers, and Japanese Christian religious refugees lived apart from each other. The Chinese quarter with its market, food sellers, and artisans is where exposure to Chinese ingredients and cooked food may have taken place. Intramuros had 600 houses where only Spanish could live; another 600 were outside the walls. Fort Santiago had only 30 soldiers and officers; 8 artillery men guarded the Walled City’s gates. There were at least 150 priests of the different orders living at Intramuros. Most Hispanics lived there with the only other places allowed being Cebu, Villa de Arevalo (Iloilo area), Nueva Segovia (Cagayan), Nueva Caceres (Camarines). There were few Spanish settlers and only a few years before Morga arrived was the colony given a budget for 400 pay-soldiers. Natives revolted and the colony was attacked by Chinese pirates and Borneans wanting to retake their trade route. Filipino food had not yet acquired Spanish influences due to few colonials and opportunities to experience their cuisine. New fruits, vegetables, and beef had been introduced as earlier vignettes in #antoniomorga30 noted, but they may not have been widespread yet. It would take time for native and colonial culinary cultures to meet and mix.",Intramuros; Culinary; Culture,Antonio Morga 30,,,"King Philip II of Spain in 1605. He was concurrently Philip 1, King of Portugal, Naples, Sicily, Sardinia. Painted by Juan Pantoja de la Cruz.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6mO2KOHw58/
coll076,https://lh3.googleusercontent.com/d/1sRsepolA0birN0lZqwc_M7QtcxlQ78UI,,POSTSCRIPT,,2019-12-29,"The 30 food vignettes rooted in “Sucesos de las Islas Filipinas” (Events in the Philippine Islands) by Antonio Morga show how unstable the colony was from 1595 to 1603 due to fires and earthquakes; local uprisings; attacks by Chinese, Bornean, and Dutch; and sinking of galleons that carried in earnings and government subsidies. Morga blundered the first maritime battle with the Dutch in 1600 that lost 137 of 200 men on his flagship. His valet removed his armour and they survived by clinging to a floating mattress. The number of resident colonials were far less than needed and those who stayed needed to be in fortified villages. Wives and children came with some of the career officials. How they coped is not recorded. But food was a challenge and it was natives and Chinese overseas workers who provided for the colonials. In 1603, when Morga was to take on a post in Mexico, the Chinese rebelled against unjust measures, burned half of Intramuros, and killed many residents prompting the largest exodus of Spanish who carried out a great amount of personal wealth. More about the era in the next set of food vignettes based on writings of Pedro Chirino, SJ.",Antonio Morga; Sucesos de las Islas Filipinas,Antonio Morga 30,,,"The seal of Manila issued by King Felipe 2 on March 20, 1596 while Morga was resident.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B6o6KsdHKDI/
coll077,https://lh3.googleusercontent.com/d/1RmPmdZy2kFHLqlt210B-4RPhZ24XXuwO,,WELCOME,,2020-03-26,"Welcome to the 4th series of Philippine culinary vignettes based on books and documents of the 16th and 17th centuries. This time we are featuring an anonymous work ascribed with certainty by historians to Fr. DIEGO BOBADILLA, SJ. He was born into a wealthy Madrid family in 1590, entered the Society of Jesus in 1606, and arrived in the Philippines in 1616. His connections to the court would benefit mission work as our recounting will reveal.",Diego Bobadilla,Diego Bob 1616,,,Perspectivo de la Plaza Mayor de Madrid. 17th century. Museo de Historia de Madrid.,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-L0PZQnSyu/
coll078,https://lh3.googleusercontent.com/d/1qm4CgJbodz91bs1V-XFrxy9hXxH5CJ1u,,A NOSE FOR FOOD,,2020-03-26,"Around this time, March, Chinese traders who had arrived in Manila from December to early January would sail home happy with silver payment. Bobadilla writes, “Those Chinese merchants are so keen after gain that if one sort of merchandise has succeeded well one year, they take a great deal of it the following year.” So every Christmas season the Spanish were brought small oranges, nuts, chestnuts, raisins, plums, flour and more. A Spaniard lost his nose through a certain illness. He likely couldn’t smell his food anymore. He sent for a Chinese to make him one of wood to hide his deformity. It was so well done that the trader was well rewarded. The next year he brought a fine boatload of wooden noses. But in order to sell, writes Bobadilla, “he would have to cut off the noses of all the Spaniards in the colony.” Figuring out what new products the export market desires is a recurring dilemma even today. In a twist of events, the noses of Catholic statuary were chopped off during the Philippine Revolution that started in 1896 because they looked Spanish.",Chinese; Trading,Diego Bob 1616,,,"“Head of a Man,” Diego Velazquez, c. 1616 the year Bobadilla arrived in Manila. Hermitage Museum, Russia. Wikiart public domain.",,Image;Still Image,image/jpeg,,public domain,,https://www.instagram.com/p/B-MJ3kbnPrK/
coll079,https://lh3.googleusercontent.com/d/1KODlmzqCdExgK358WChduYN6jEej1ObY,,CANON FRUIT,,2020-03-27,"“Carne de membrillo,” flesh of quince fruit, is a favourite Spanish conserve from its Moorish past. It was carried by Magellan’s voyage of exploration. (See #magellanmenu) Quince couldn’t grow in tropical Philippines. Diego Bobadilla, SJ notes that starfruit, balimbing, birambi (Averrhoa carambola) could be conserved. It tasted like plum when conserved with honey (later sugars) and smelled like quince when ripe on the tree. “Birimbines” conserve was used on galleon trips back to Mexico. It was even ordered by residents there. Native to tropical Southeast Asia, possibly the Moluccas in particular, it spread to the South Pacific and East Asia, although when remains to be traced. ”Carambola” in Spanish means a canon, the sound of a canon, billiards and the sound of billiard balls hitting each other. Was there a military projectile shaped like starfruit? How and why carambola was applied to a sourish fruit with a cross section resembling a star could remain a conundrum.",Quince; Ferdinand Magellan; Carambola,Diego Bob 1616,,,"Illustration by Kaarin Wall in her book A JAKARTA MARKET published for charities of the American Women’s Association, Jakarta, Indonesia 1983 and 1985.",,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-OuckLnFZF/
coll080,https://lh3.googleusercontent.com/d/1lJfN21Rh-IO1K33wcykcIvWe7RyBIPbb,,MALESIAN SANTOL,,2020-03-27,"Bobadilla, who arrived in the Philippines in 1616, singled out not only star fruit (See DB3) but santol (Sandoricum koetjape) as exotic fruits made into “conserva.” New varieties have been bred with thinned santol skin, thickened flesh to spoon out, and increased sweetness over natural tartness. It has enough pectin making it good for preserves and jams. The Philippines, Borneo, Malaysia and Sumatra fall into one of three subdistricts of the MALESIAN biogeographical region which is why they have botanicals in common, like santol. Missionaries not only provide early informal references to Philippine food but scientific data for the 16th through 19th centuries. Santol is used to sour sinigang broth and is cooked with coconut milk to make sinantolan.",Santol,Diego Bob 1616,,,World Geographical Scheme for Recording Plant Distributions Malesia.svg. Hariboneagle 927 original; Peter Coxhead. CC BY-SA 4.0. at en.m.wikipedia.org,,Image;Still Image,image/jpeg,,,,https://www.instagram.com/p/B-O3u3fnkS_/
